vid,rally_idx,shot_idx,player_id,shot_type,start_ms,end_ms,depth,height_over_net
u7bnntb4jhok,8,4,1,drive,122233,122633,16.102,3.683
u7bnntb4jhok,8,5,3,drive,122633,123033,15.774,3.734
u7bnntb4jhok,8,6,0,drive,123033,123533,17.008,4.373
u7bnntb4jhok,8,7,3,drive,123533,123966,16.822,3.44
u7bnntb4jhok,8,8,0,dink,123966,124633,14.864,3
u7bnntb4jhok,8,9,3,dink,124966,125633,10.181,
u7bnntb4jhok,9,0,0,unknown,136466,137266,43.831,4.644
u7bnntb4jhok,9,1,2,unknown,137666,138600,32.673,3.326
u7bnntb4jhok,9,2,0,drop,139166,140000,18.972,4.995
u7bnntb4jhok,9,3,2,drive,140000,140466,15.722,3
u7bnntb4jhok,9,4,0,dink,140466,140733,14.547,3
u7bnntb4jhok,10,0,1,unknown,152666,153833,40.809,7.358
u7bnntb4jhok,10,1,3,unknown,154266,155266,44.089,5.414
u7bnntb4jhok,10,2,1,drop,155700,156666,27.486,3.945
u7bnntb4jhok,10,3,2,dink,156666,157566,15.681,3.734
u7bnntb4jhok,10,4,1,dink,157833,158566,14.258,3.852
u7bnntb4jhok,10,5,2,drive,158566,158933,12.271,3.01
u7bnntb4jhok,10,6,0,drive,158933,160800,35.894,5.39
u7bnntb4jhok,11,0,2,unknown,169066,169933,37.935,4.512
u7bnntb4jhok,11,1,0,unknown,170400,171366,38.198,4.739
u7bnntb4jhok,11,2,2,drop,171800,172566,22.284,
u7bnntb4jhok,12,0,3,unknown,189033,189933,41.816,4.461
u7bnntb4jhok,12,1,1,unknown,190233,191433,39.314,6.238
u7bnntb4jhok,12,2,2,drive,191866,192800,27.166,5.958
u7bnntb4jhok,12,3,1,drive,192800,193400,22.788,4.567
u7bnntb4jhok,12,4,2,drop,193500,194533,18.736,
u7bnntb4jhok,13,0,0,unknown,203566,204366,38.563,3.801
u7bnntb4jhok,13,1,2,unknown,204666,205700,37.628,4.513
u7bnntb4jhok,13,2,1,drop,206033,206700,18.847,
u7bnntb4jhok,14,0,1,unknown,215700,216666,40.602,5.257
u7bnntb4jhok,14,1,3,unknown,217066,218000,43.985,4.919
u7bnntb4jhok,14,2,1,drop,218433,219266,29.331,3.628
u7bnntb4jhok,14,3,2,dink,219266,219966,15.979,3.25
u7bnntb4jhok,14,4,1,drop,220233,221266,17.743,6.275
u7bnntb4jhok,14,5,2,drive,221266,221733,17.466,3.857
u7bnntb4jhok,14,6,0,drive,221733,222333,17.173,3.546
u7bnntb4jhok,14,7,2,drive,222333,222833,18.409,3.563
u7bnntb4jhok,14,8,1,drive,222833,223266,17.823,3.186
u7bnntb4jhok,14,9,2,drive,223266,223733,13.546,4.615
u7bnntb4jhok,14,10,1,drive,223733,223966,13.94,4.022
u7bnntb4jhok,14,11,2,dink,223966,224933,9.812,
u7bnntb4jhok,15,0,1,unknown,236600,237566,39.511,5.014
u7bnntb4jhok,15,1,2,unknown,237866,238900,39.822,4.806
u7bnntb4jhok,15,2,1,drop,239266,240166,25.953,3.799
u7bnntb4jhok,15,3,3,dink,240166,241033,13.418,4.336
u7bnntb4jhok,15,4,1,dink,241033,241733,17,4.392
u7bnntb4jhok,15,5,3,dink,241733,242433,16.321,5.38
u7bnntb4jhok,15,6,1,smash,242433,242733,15.95,3
u7bnntb4jhok,15,7,3,drive,242933,243633,20.455,5.238
u7bnntb4jhok,15,8,1,smash,243633,243933,14.79,3.423
u7bnntb4jhok,15,9,2,drive,243933,244433,14.833,5.402
u7bnntb4jhok,15,10,1,smash,244433,244800,17.496,4.326
u7bnntb4jhok,15,11,2,dink,244800,245266,10.434,
u7bnntb4jhok,16,0,1,unknown,263800,264700,40.471,4.499
